# file...... output/house_hvac_load_1.csv
# date...... Wed Oct 16 08:42:43 2019
# user...... alyona_slac
# host...... (null)
# target.... house 6
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,hvac_load
2018-01-20 00:00:00 PST,+0
2018-01-20 01:00:00 PST,+0
2018-01-20 02:00:00 PST,+0
2018-01-20 03:00:00 PST,+0
2018-01-20 04:00:00 PST,+0
2018-01-20 05:00:00 PST,+0
2018-01-20 06:00:00 PST,+0
2018-01-20 07:00:00 PST,+0
2018-01-20 08:00:00 PST,+0
2018-01-20 09:00:00 PST,+0
2018-01-20 10:00:00 PST,+0
2018-01-20 11:00:00 PST,+0
2018-01-20 12:00:00 PST,+0
2018-01-20 13:00:00 PST,+0
2018-01-20 14:00:00 PST,+0
2018-01-20 15:00:00 PST,+0
2018-01-20 16:00:00 PST,+2.30765
2018-01-20 17:00:00 PST,+0
2018-01-20 18:00:00 PST,+0
2018-01-20 19:00:00 PST,+0
2018-01-20 20:00:00 PST,+0
2018-01-20 21:00:00 PST,+0
2018-01-20 22:00:00 PST,+0
2018-01-20 23:00:00 PST,+0
# end of tape
